#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405224.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405225.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405226.sorted.bam

    	ERR405224.sorted.bam	ERR405225.sorted.bam	ERR405226.sorted.bam	
    	  Sense Antisense  Total	  Sense Antisense  Total	  Sense Antisense  Total	
rplF	   3321    3421    6742	   3272    3367    6639	   1472    1522    2994	
cds3206	      5       8      13	      8       9      17	      1       2       3	
rplE	   4889    4958    9847	   5071    5046   10117	   2431    2427    4858	
cds3205	      4       1       5	      8       7      15	      3       2       5	
rplD	   2359    1975    4334	   2432    1991    4423	   1054     865    1919	
cds3204	      5       7      12	      8       6      14	      1       2       3	
rplC	   2997    3237    6234	   2929    3219    6148	   1275    1423    2698	
cds3203	      7       6      13	      6       5      11	      6       4      10	
cds2119	    223     211     434	    193     176     369	    100      94     194	
rplB	   2670    3007    5677	   2619    2925    5544	   1162    1300    2462	
cds3202	      8       5      13	      4       2       6	      1       1       2	
rplA	   1926    2794    4720	   2010    3010    5020	    908    1267    2175	
cds2113	     38      44      82	     33      37      70	     18      25      43	
cds2112	    105      96     201	     90      89     179	     51      50     101	
cds231	    220     213     433	    243     238     481	    127     132     259	
cds2111	     62      41     103	     46      31      77	     22      19      41	
cds2110	    717     491    1208	    667     457    1124	    390     234     624	
bglA	    469     499     968	    467     488     955	    262     275     537	
yjjA	    513     619    1132	    443     552     995	    239     301     540	
cds1023	    565     439    1004	    451     380     831	    284     198     482	
cds1022	    219      65     284	    155      49     204	    124      31     155	
cds1020	   4492    4563    9055	   3657    3727    7384	   2271    2306    4577	
yjiW	     95     157     252	     95     150     245	     44      89     133	
nlpD	 162562  154257  316819	 142205  132716  274921	  89566   85661  175227	
nlpC	   1269    1032    2301	   1205     944    2149	    612     499    1111	
nlpB	   1601    2162    3763	   1448    1996    3444	    722     990    1712	
cds1019	    492     493     985	    464     470     934	    218     221     439	
cds1018	    103     100     203	     80      80     160	     49      41      90	
cds1011	     39      27      66	     31      16      47	     21       5      26	
cds1010	    446     377     823	    340     265     605	    194     158     352	
yjhP	   1306    1121    2427	   1317    1095    2412	    657     595    1252	
cds217	    442     610    1052	    418     582    1000	    156     220     376	
cds1008	    563     527    1090	    550     481    1031	    266     235     501	
cds1007	    775     639    1414	    651     555    1206	    438     361     799	
yjga	    717     590    1307	    614     529    1143	    413     354     767	
gldA	    305     350     655	    286     330     616	    170     192     362	
cds1004	    518     321     839	    436     286     722	    292     173     465	
grpE	   4115    3829    7944	   3950    3644    7594	   2027    1890    3917	
cds1000	    536     143     679	    455     122     577	    280      61     341	
cds3898	    104     131     235	     89     122     211	     42      68     110	
parE	    781     686    1467	    772     658    1430	    390     336     726	
cds3897	    343     360     703	    339     368     707	    151     169     320	
cds3896	     43      32      75	     29      21      50	     21      13      34	
parC	   2416    2390    4806	   2215    2164    4379	   1029    1012    2041	
rpiA	   1169    1147    2316	   1115    1091    2206	    526     521    1047	
cds3895	     26      30      56	     30      30      60	     13      10      23	
cds3894	    326     278     604	    214     183     397	    163     138     301	
cds3893	    207     157     364	    178     140     318	    112      92     204	
cds3892	    111     126     237	    103     124     227	     48      57     105	
yjgF	   4312    3875    8187	   4417    3973    8390	   2096    1848    3944	
cds3891	    348     323     671	    314     285     599	    203     176     379	
yjfY	    327     336     663	    265     279     544	    153     164     317	
iagB	     76      80     156	     69      74     143	     37      38      75	
iagA	    134     127     261	     98      88     186	     51      49     100	
yjfR	    154     142     296	    144     129     273	     85      87     172	
yjfQ	    978     880    1858	    863     807    1670	    480     432     912	
yjfP	    627     453    1080	    454     317     771	    316     232     548	
yjfO	   1579    1048    2627	   1438     892    2330	    800     493    1293	
yjfN	    752    1071    1823	    604     967    1571	    476     611    1087	
yjfM	    145     160     305	    112     139     251	     60      60     120	
ldcC	    973     962    1935	   1005     985    1990	    516     490    1006	
yjfL	     99      97     196	     99      95     194	     33      33      66	
cds3887	   1053     690    1743	    864     479    1343	    465     257     722	
yjfK	    105     146     251	    103     144     247	     43      57     100	
cds3886	    121     135     256	    107     119     226	     43      49      92	
